laptime in seconds,car
115.6,Audi Evo 2
115.882,Audi Evo 2
115.145,Audi Evo 2
115.85,Audi Evo 2
120.147,Audi Evo 2
116.957,Audi Evo 2
118.837,Audi Evo 2
116.682,Audi Evo 2
117.63,Audi Evo 2
116.375,Audi Evo 2
114.63,Audi Evo 2
115.837,Audi Evo 2
116.295,Audi Evo 2
115.155,Audi Evo 2
116.435,Audi Evo 2
116.162,Audi Evo 2
113.515,Audi Evo 2
116.267,Audi Evo 2
115.377,Audi Evo 2
116.597,Audi Evo 2
117.635,Audi Evo 2
115.66,Audi Evo 2
117.977,Audi Evo 2
115.325,Audi Evo 2
118.867,Audi Evo 2
117.165,Audi Evo 2
118.362,Audi Evo 2
116.415,Audi Evo 2
119.965,Audi Evo 2
116.16,Audi Evo 2
118.447,Audi Evo 2
114.705,Audi Evo 2
117.595,Audi Evo 2
118.25,Audi Evo 2
116.78,Audi Evo 2
115.262,Audi Evo 2
116.777,Audi Evo 2
115.717,Audi Evo 2
116.755,Audi Evo 2
113.797,Audi Evo 2
116.267,Audi Evo 2
116.875,Audi Evo 2
115.912,Audi Evo 2
117.155,Audi Evo 2
119.34,Audi Evo 2
116.88,Audi Evo 2
115.427,Audi Evo 2
116.98,Audi Evo 2
114.745,Audi Evo 2
114.8,Audi Evo 2
117.797,Audi Evo 2
115.667,Audi Evo 2
115.16,Audi Evo 2
115.85,Audi Evo 2
114.72,Audi Evo 2
116.485,Audi Evo 2
118.252,Audi Evo 2
116.287,Audi Evo 2
117.702,Audi Evo 2
117.762,Audi Evo 2
115.107,Audi Evo 2
115.582,Audi Evo 2
115.397,Audi Evo 2
116.945,Audi Evo 2
115.972,Audi Evo 2
117.427,Audi Evo 2
114.287,Audi Evo 2
114.33,Audi Evo 2
115.117,Audi Evo 2
116.71,Audi Evo 2
116.657,Audi Evo 2
114.725,Audi Evo 2
118.637,Audi Evo 2
118.647,Audi Evo 2
116.98,Audi Evo 2
117.047,Audi Evo 2
115.61,Audi Evo 2
117.15,Audi Evo 2
117.337,Audi Evo 2
118.837,Audi Evo 2
116.272,Audi Evo 2
